Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-14,Best films,,https://boxd.it/CRsNO,

Position,Name,Year,URL,Description
1,Pulp Fiction,1994,https://boxd.it/29Pq,
2,Cure,1997,https://boxd.it/1blA,
3,Kung Fu Panda,2008,https://boxd.it/1Yws,
4,Zodiac,2007,https://boxd.it/27MO,
5,Love Letter,1995,https://boxd.it/LMA,
6,Taxi Driver,1976,https://boxd.it/2b8y,
7,Memories of Murder,2003,https://boxd.it/1TSo,
8,Lake Mungo,2008,https://boxd.it/1rWM,
9,Kwaidan,1964,https://boxd.it/1kbY,
10,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,
11,Rear Window,1954,https://boxd.it/2a6Q,
12,Chinatown,1974,https://boxd.it/29vU,
13,Memories,1995,https://boxd.it/Vz2,
14,GoodFellas,1990,https://boxd.it/29FA,
15,Shutter Island,2010,https://boxd.it/1U82,
16,Aparajito,1956,https://boxd.it/29kW,
17,Grave of the Fireflies,1988,https://boxd.it/1RUM,
18,Eyes Wide Shut,1999,https://boxd.it/2axs,
19,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
