Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-04-30,Mortal Kombat,2021,https://boxd.it/1PvX3H,2.5,,,2021-04-30
2021-05-06,Free Solo,2018,https://boxd.it/1QhDUx,5,,,2021-05-05
2021-06-13,Dunkirk,2017,https://boxd.it/1VpQev,4,,,2021-06-13
2021-06-23,Southpaw,2015,https://boxd.it/1WFHXR,3,,,2021-06-23
2021-06-24,The Terminal,2004,https://boxd.it/1WInoj,3,,,2021-06-23
2021-07-25,Bo Burnham: Inside,2021,https://boxd.it/21htVT,4.5,Yes,,2021-07-25
2021-07-27,Grave of the Fireflies,1988,https://boxd.it/21AyUT,5,,,2021-07-27
2021-08-08,The Suicide Squad,2021,https://boxd.it/23dcib,3.5,,,2021-08-07
2021-08-10,The Garden of Words,2013,https://boxd.it/23E99p,5,,,2021-08-10
2021-11-02,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/2fKStz,3,,,2021-11-01
2021-11-16,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/2i6Eo3,3.5,,,2021-11-16
2021-11-30,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/2kd5nV,4.5,,,2021-11-30
2021-12-16,Harry Potter and the Goblet of Fire,2005,https://boxd.it/2mrlLl,3.5,,,2021-12-15
2021-12-27,Save Ralph,2021,https://boxd.it/2oHMN9,5,,,2021-12-26
2021-12-30,The Lighthouse,2019,https://boxd.it/2pGCbB,5,,,2021-12-30
2021-12-31,Night and Fog,1956,https://boxd.it/2pMpYn,4,,,2021-12-30
2022-02-23,The Rescue,2021,https://boxd.it/2BFJ2d,4.5,Yes,,2022-02-23
2022-03-10,Sonny Boy,2021,https://boxd.it/2Ek3gx,4,,,2022-03-10
2022-03-19,The Batman,2022,https://boxd.it/2G1YNX,4.5,,,2022-03-19
2022-05-28,Valimai,2022,https://boxd.it/2SzTxV,0.5,,,2022-05-28
2022-05-30,Lunana: A Yak in the Classroom,2019,https://boxd.it/2SNuJP,5,,,2022-05-29
2022-06-23,Extraction,2020,https://boxd.it/2Xa2kf,3.5,,,2022-06-22
2022-07-05,Jujutsu Kaisen 0,2021,https://boxd.it/2ZxOXX,3.5,,,2022-07-05
