Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-18,Best Indian films,,https://boxd.it/D56oA,

Position,Name,Year,URL,Description
1,Pather Panchali,1955,https://boxd.it/22yC,
2,Aparajito,1956,https://boxd.it/29kW,
3,Apur Sansar,1959,https://boxd.it/29l6,
4,Dil Chahta Hai,2001,https://boxd.it/1Nsk,
5,Swades,2004,https://boxd.it/1Ly6,
6,Pyaasa,1957,https://boxd.it/10iq,
7,3 Idiots,2009,https://boxd.it/1Dsa,
8,Zindagi Na Milegi Dobara,2011,https://boxd.it/efo,
9,Like Stars on Earth,2007,https://boxd.it/20SA,
10,Bhool Bhulaiyaa,2007,https://boxd.it/1FQI,
11,Anand,1971,https://boxd.it/1uhM,
12,Piku,2015,https://boxd.it/aXUc,
13,Sholay,1975,https://boxd.it/1Saq,
14,Haider,2014,https://boxd.it/8E5A,
15,The Lunchbox,2013,https://boxd.it/5MOs,
